================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 16:59:13
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[17:03:11] + 237.8s | RAM: 14.55/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:12] + 238.8s | RAM: 14.55/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:13] + 239.8s | RAM: 14.55/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:14] + 240.8s | RAM: 14.75/27.65 GB ( 53.3%) | VRAM: N/A
[17:03:15] + 241.9s | RAM: 14.70/27.65 GB ( 53.2%) | VRAM: N/A
[17:03:16] + 242.9s | RAM: 14.70/27.65 GB ( 53.2%) | VRAM: N/A
[17:03:17] + 243.9s | RAM: 14.70/27.65 GB ( 53.2%) | VRAM: N/A
[17:03:18] + 244.9s | RAM: 14.70/27.65 GB ( 53.2%) | VRAM: N/A
[17:03:19] + 245.9s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:20] + 246.9s | RAM: 14.71/27.65 GB ( 53.2%) | VRAM: N/A
[17:03:21] + 248.0s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:22] + 249.0s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:23] + 250.0s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:24] + 251.0s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:25] + 252.0s | RAM: 14.68/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:26] + 253.0s | RAM: 14.70/27.65 GB ( 53.2%) | VRAM: N/A
[17:03:27] + 254.1s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:28] + 255.1s | RAM: 14.68/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:29] + 256.1s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:30] + 257.1s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[17:03:31] + 258.1s | RAM: 14.88/27.65 GB ( 53.8%) | VRAM: N/A
[17:03:32] + 259.1s | RAM: 16.10/27.65 GB ( 58.2%) | VRAM: N/A
[17:03:34] + 260.8s | RAM: 16.94/27.65 GB ( 61.3%) | VRAM: N/A
[17:03:37] + 263.6s | RAM: 19.58/27.65 GB ( 70.8%) | VRAM: N/A
[17:03:38] + 264.7s | RAM: 21.67/27.65 GB ( 78.4%) | VRAM: N/A
[17:03:39] + 265.7s | RAM: 23.40/27.65 GB ( 84.7%) | VRAM: N/A
[17:03:40] + 266.7s | RAM: 20.48/27.65 GB ( 74.1%) | VRAM: N/A
[17:03:41] + 267.7s | RAM: 15.24/27.65 GB ( 55.1%) | VRAM: N/A
[17:03:42] + 268.7s | RAM: 15.27/27.65 GB ( 55.2%) | VRAM: N/A
[17:03:43] + 269.7s | RAM: 15.25/27.65 GB ( 55.2%) | VRAM: N/A
[17:03:44] + 270.7s | RAM: 14.91/27.65 GB ( 53.9%) | VRAM: N/A
[17:03:45] + 271.7s | RAM: 14.91/27.65 GB ( 53.9%) | VRAM: N/A
[17:03:46] + 272.8s | RAM: 14.95/27.65 GB ( 54.1%) | VRAM: N/A
[17:03:47] + 273.8s | RAM: 14.77/27.65 GB ( 53.4%) | VRAM: N/A
[17:03:48] + 274.8s | RAM: 14.79/27.65 GB ( 53.5%) | VRAM: N/A
[17:03:49] + 275.8s | RAM: 14.97/27.65 GB ( 54.1%) | VRAM: N/A
[17:03:50] + 276.8s | RAM: 14.83/27.65 GB ( 53.7%) | VRAM: N/A
[17:03:51] + 277.9s | RAM: 15.22/27.65 GB ( 55.1%) | VRAM: N/A
[17:03:52] + 278.9s | RAM: 15.59/27.65 GB ( 56.4%) | VRAM: N/A
[17:03:53] + 279.9s | RAM: 15.49/27.65 GB ( 56.0%) | VRAM: N/A
[17:03:54] + 280.9s | RAM: 15.42/27.65 GB ( 55.8%) | VRAM: N/A
[17:03:55] + 281.9s | RAM: 15.41/27.65 GB ( 55.8%) | VRAM: N/A
[17:03:56] + 282.9s | RAM: 15.35/27.65 GB ( 55.5%) | VRAM: N/A
[17:03:57] + 283.9s | RAM: 15.30/27.65 GB ( 55.3%) | VRAM: N/A
[17:03:58] + 284.9s | RAM: 15.21/27.65 GB ( 55.0%) | VRAM: N/A
[17:03:59] + 286.0s | RAM: 15.18/27.65 GB ( 54.9%) | VRAM: N/A
[17:04:00] + 287.0s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[17:04:01] + 288.0s | RAM: 15.09/27.65 GB ( 54.6%) | VRAM: N/A
[17:04:02] + 289.0s | RAM: 15.03/27.65 GB ( 54.4%) | VRAM: N/A
[17:04:03] + 290.0s | RAM: 14.99/27.65 GB ( 54.2%) | VRAM: N/A
[17:04:04] + 291.0s | RAM: 14.91/27.65 GB ( 53.9%) | VRAM: N/A
[17:04:05] + 292.1s | RAM: 14.85/27.65 GB ( 53.7%) | VRAM: N/A
[17:04:06] + 293.1s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[17:04:07] + 294.1s | RAM: 14.75/27.65 GB ( 53.4%) | VRAM: N/A
[17:04:08] + 295.1s | RAM: 14.89/27.65 GB ( 53.9%) | VRAM: N/A
[17:04:09] + 296.1s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:04:10] + 297.1s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:04:11] + 298.2s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
